Product_ID,Product_Name,Category,Unit_Cost,Unit_Price
PROD-101,آيفون 15 بروفايلي,هواتف ذكية,45000,52000
PROD-102,سامسونج S24 ألترا,هواتف ذكية,42000,49000
PROD-103,شاومي 13T,هواتف ذكية,18000,22000
PROD-104,شاشة سامسونج 55 بوصة Smart,شاشات وتلفزيونات,15000,18500
PROD-105,شاشة إل جي 65 بوصة OLED,شاشات وتلفزيونات,32000,38000
PROD-106,ثلاجة توشيبا 16 قدم,أجهزة منزلية,22000,26000
PROD-107,غسالة زانوسي 8 كيلو,أجهزة منزلية,16000,19500
PROD-108,تكييف شارب 1.5 حصان,أجهزة منزلية,19000,22500
PROD-109,سماعة أنكر بلوتوث,إكسسوارات,1200,1800
PROD-110,باور بنك جوي 20000,إكسسوارات,900,1400
PROD-111,شاحن سريع أبل,إكسسوارات,800,1200
